11
Saransk,54.183333,45.183333
Kaliningrado,54.716667,20.500000
Moscu,55.755833,37.617778
Nizhni Novgorod,56.326944,44.007500
Samara,53.183333,50.116667
Kazan,55.790833,49.114444
Ekaterinburgo,56.833333,60.583333
Volgogrado,48.700000,44.483333
San Petesburgo,59.950000,30.316667
Rostov del Don,47.233333,39.716667
Sochi,43.585278,39.720278
10
Moscu,Kaliningrado,3
Moscu,Samara,2
Rostov del Don,Moscu,3
Kaliningrado,San Petesburgo,4
San Petesburgo,Saransk,4
Ekaterinburgo,Nizhni Novgorod,5
Nizhni Novgorod,Rostov del Don,3
Nizhni Novgorod,Kazan,1
Kazan,Volgogrado,2
Volgogrado,Sochi,3
